Comment,Designator,Footprint,LCSC
100n,"C10,C11,C12,C16,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C7,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C8,C80,C81,C82,C83,C84,C85,C9",C_0603_1608Metric,C14663
1u,"C14,C15,C17,C18",C_0603_1608Metric,C15849
22p,"C1,C13",C_0603_1608Metric,C1653
10u,C3,C_0603_1608Metric,C19702
RP2040,U3,RP2040-QFN-56,C2040
1K,"R1,R2",R_0603_1608Metric,C21190
27R,"R4,R5",R_0603_1608Metric,C25190
10K,R3,R_0603_1608Metric,C25804
500mA,F1,Fuse_0805_2012Metric,C269104
USB DTB,J1,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,C2905011
SK6812MINI-E,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED4,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED5,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED6,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED7,LED8,LED9",LED_6028R,C524051
XC6206P332MR,RG1,XC6206P332MR,C5446
74LVC1G17,U2,SOT-23-5,C7484
1N4148W,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D7,D8,D9",D_SOD-123,C81598
SRV05-4,ESD1,SOT-23-6,C85364
12Mhz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U1,SOIC-8_5.23x5.23mm_P1.27mm,C97521
SWD Debug,J2,PinHeader_1x05_P2.54mm_Vertical,
USB DTB 2,J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
