Comment,Designator,Footprint,LCSC
1k,"R1,R2",R_0402_1005Metric,C11702
10u,C3,C_0402_1005Metric,C15525
22p,"C1,C13",C_0402_1005Metric,C1555
RP2040,U3,RP2040-QFN-56,C2040
USB DTB,J1,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,C240847
20R,"R10,R11,R13,R14,R16,R17,R19,R20,R22,R23,R25,R26,R28,R29,R31,R32,R34,R35,R37,R38",R_0402_1005Metric,C25089
27R,"R4,R5",R_0402_1005Metric,C25100
51R,"R12,R15,R18,R21,R24,R27,R30,R33,R36,R39",R_0402_1005Metric,C25125
10k,"R3,R8,R9",R_0402_1005Metric,C25744
4.7k,"R6,R7",R_0402_1005Metric,C25900
500mA,F1,Fuse_0805_2012Metric,C269104
IS31FL3729-QF,"U2,U4",IS31FL3729-QF,C2940549
ZD25Q80BNIGR,U1,USON-8_1.5x1.5mm_P0.45mm,C3035284
100n,"C10,C11,C12,C16,C2,C20,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C307331
MHT151RGBCT,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED4,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED5,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED6,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED7,LED8,LED9",LED_1206R,C409782
1u,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX3,MX30,MX31,MX32,MX33,MX34,MX35,MX36,MX37,MX38,MX39,MX4,MX40,MX41,MX42,MX43,MX44,MX45,MX46,MX47,MX48,MX49,MX5,MX50,MX51,MX52,MX53,MX54,MX55,MX56,MX57,MX58,MX59,MX6,MX60,MX61,MX62,MX63,MX64,MX65,MX66,MX67,MX7,MX8,MX9",SW_MX_HS_1u_socket,C5156480
1u,"C14,C15,C17,C18,C19,C21",C_0402_1005Metric,C52923
XC6206P332MR,RG1,XC6206P332MR,C5446
1N4148W,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D7,D8,D9",D_SOD-123,C81598
SRV05-4,ESD1,SOT-23-6,C85364
12Mhz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
